
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
024: 1 0.44
025: 1 0.44
026: 1 0.44
027: 1 0.44
028: 1 0.44
029: 1 0.44
030: 1 0.44
031: 1 0.44
032: 1 0.44
033: 1 0.44
034: 1 0.44
035: 1 0.44
036: 1 0.43
037: 1 0.44
038: 1 0.44
039: 1 0.44
040: 1 0.44
041: 1 0.44
042: 1 0.44
043: 1 0.44
044: 1 0.44
045: 1 0.44
1                       0.46
000: 2 1.80
001: 2 0.40
002: 2 0.40
003: 2 0.40
004: 2 0.40
005: 2 0.40
006: 2 0.40
007: 2 0.40
008: 2 0.40
009: 2 0.40
010: 2 0.40
011: 2 0.40
012: 2 0.40
013: 2 0.41
014: 2 0.40
015: 2 0.42
016: 2 0.41
017: 2 0.40
018: 2 0.42
019: 2 0.40
020: 2 0.42
021: 2 0.40
022: 2 0.41
023: 2 0.39
024: 2 0.43
025: 2 0.43
026: 2 0.43
027: 2 0.43
028: 2 0.43
029: 2 0.43
030: 2 0.43
031: 2 0.43
032: 2 0.43
033: 2 0.43
034: 2 0.42
035: 2 0.43
036: 2 0.42
037: 2 0.43
038: 2 0.43
039: 2 0.43
040: 2 0.43
041: 2 0.43
042: 2 0.43
043: 2 0.43
044: 2 0.43
045: 2 0.43
2                       0.45
000: 4 1.81
001: 4 0.40
002: 4 0.40
003: 4 0.39
004: 4 0.40
005: 4 0.40
006: 4 0.40
007: 4 0.40
008: 4 0.40
009: 4 0.41
010: 4 0.41
011: 4 0.41
012: 4 0.41
013: 4 0.41
014: 4 0.40
015: 4 0.41
016: 4 0.41
017: 4 0.40
018: 4 0.41
019: 4 0.40
020: 4 0.41
021: 4 0.40
022: 4 0.41
023: 4 0.40
024: 4 0.43
025: 4 0.43
026: 4 0.43
027: 4 0.43
028: 4 0.43
029: 4 0.43
030: 4 0.43
031: 4 0.43
032: 4 0.43
033: 4 0.43
034: 4 0.43
035: 4 0.42
036: 4 0.43
037: 4 0.43
038: 4 0.43
039: 4 0.43
040: 4 0.43
041: 4 0.43
042: 4 0.43
043: 4 0.43
044: 4 0.43
045: 4 0.43
4                       0.45
000: 8 1.79
001: 8 0.40
002: 8 0.40
003: 8 0.39
004: 8 0.39
005: 8 0.40
006: 8 0.39
007: 8 0.39
008: 8 0.40
009: 8 0.41
010: 8 0.40
011: 8 0.41
012: 8 0.41
013: 8 0.40
014: 8 0.40
015: 8 0.41
016: 8 0.41
017: 8 0.40
018: 8 0.41
019: 8 0.40
020: 8 0.41
021: 8 0.40
022: 8 0.41
023: 8 0.40
024: 8 0.43
025: 8 0.43
026: 8 0.44
027: 8 0.43
028: 8 0.43
029: 8 0.44
030: 8 0.44
031: 8 0.43
032: 8 0.44
033: 8 0.43
034: 8 0.43
035: 8 0.43
036: 8 0.44
037: 8 0.43
038: 8 0.43
039: 8 0.43
040: 8 0.44
041: 8 0.43
042: 8 0.43
043: 8 0.43
044: 8 0.44
045: 8 0.44
8                       0.45
000: 16 1.79
001: 16 0.40
002: 16 0.41
003: 16 0.40
004: 16 0.41
005: 16 0.40
006: 16 0.40
007: 16 0.40
008: 16 0.40
009: 16 0.41
010: 16 0.41
011: 16 0.41
012: 16 0.40
013: 16 0.41
014: 16 0.40
015: 16 0.42
016: 16 0.41
017: 16 0.40
018: 16 0.42
019: 16 0.41
020: 16 0.42
021: 16 0.40
022: 16 0.42
023: 16 0.40
024: 16 0.43
025: 16 0.43
026: 16 0.43
027: 16 0.43
028: 16 0.43
029: 16 0.42
030: 16 0.43
031: 16 0.43
032: 16 0.43
033: 16 0.43
034: 16 0.43
035: 16 0.42
036: 16 0.43
037: 16 0.43
038: 16 0.43
039: 16 0.43
040: 16 0.43
041: 16 0.43
042: 16 0.42
043: 16 0.42
044: 16 0.43
045: 16 0.43
16                      0.45
000: 32 1.81
001: 32 0.40
002: 32 0.40
003: 32 0.40
004: 32 0.40
005: 32 0.40
006: 32 0.40
007: 32 0.40
008: 32 0.40
009: 32 0.41
010: 32 0.40
011: 32 0.41
012: 32 0.40
013: 32 0.41
014: 32 0.41
015: 32 0.42
016: 32 0.41
017: 32 0.40
018: 32 0.41
019: 32 0.40
020: 32 0.42
021: 32 0.40
022: 32 0.41
023: 32 0.40
024: 32 0.43
025: 32 0.43
026: 32 0.43
027: 32 0.44
028: 32 0.43
029: 32 0.43
030: 32 0.44
031: 32 0.43
032: 32 0.43
033: 32 0.43
034: 32 0.43
035: 32 0.43
036: 32 0.43
037: 32 0.43
038: 32 0.43
039: 32 0.43
040: 32 0.43
041: 32 0.43
042: 32 0.42
043: 32 0.43
044: 32 0.43
045: 32 0.43
32                      0.45
000: 64 1.77
001: 64 0.39
002: 64 0.39
003: 64 0.39
004: 64 0.39
005: 64 0.39
006: 64 0.39
007: 64 0.39
008: 64 0.39
009: 64 0.40
010: 64 0.39
011: 64 0.40
012: 64 0.40
013: 64 0.40
014: 64 0.39
015: 64 0.41
016: 64 0.39
017: 64 0.40
018: 64 0.40
019: 64 0.39
020: 64 0.40
021: 64 0.39
022: 64 0.40
